#{"t_start": 1743793296.7968469, "env_id": "sneaky_enemies"}
r,l,t
1.0,11,1.940146
1.0,7,1.949148
2.0,11,1.96415
5.0,20,1.990147
3.0,31,2.028147
3.0,7,2.038147
3.0,7,2.047148
1.0,10,2.060147
2.0,10,2.072147
2.0,19,2.096148
4.0,13,2.113147
1.0,11,2.12715
2.0,15,2.146147
2.0,39,2.19418
4.0,35,2.237174
4.0,9,2.249148
1.0,15,2.26818
3.0,8,2.281149
3.0,19,2.306179
3.0,11,2.320179
3.0,13,2.336179
4.0,51,2.39718
1.0,10,2.410172
3.0,11,2.42418
2.0,3,2.42915
4.0,43,2.482178
2.0,7,2.491179
1.0,3,2.495178
4.0,35,2.538465
4.0,39,2.586465
3.0,11,2.600495
3.0,15,2.618496
1.0,7,2.627496
1.0,11,2.641469
1.0,19,2.664469
1.0,5,2.671468
3.0,27,2.705469
1.0,13,2.721468
5.0,31,2.761303
1.0,3,2.765302
2.0,11,2.780334
5.0,16,2.800334
2.0,5,2.807335
5.0,71,2.893308
2.0,23,2.922335
3.0,11,2.936338
1.0,10,2.949303
4.0,13,2.965305
3.0,42,3.017335
9.0,35,3.060306
4.0,28,3.096335
1.0,19,3.120335
1.0,11,3.134307
2.0,3,3.138308
3.0,5,3.145308
3.0,25,3.177308
4.0,39,3.225334
1.0,3,3.230335
2.0,7,3.239305
2.0,8,3.25033
1.0,5,3.256305
2.0,18,3.279305
4.0,11,3.293308
3.0,27,3.327307
3.0,11,3.341307
1.0,11,3.355308
1.0,6,3.363304
3.0,7,3.373304
7.0,15,3.392303
3.0,23,3.421336
1.0,6,3.429341
3.0,15,3.448307
3.0,27,3.481308
3.0,13,3.499307
2.0,7,3.508308
1.0,3,3.512307
1.0,7,3.522306
2.0,21,3.548307
2.0,12,3.563307
4.0,11,3.578308
1.0,11,3.592307
4.0,12,3.607304
3.0,7,3.616304
2.0,58,3.688305
1.0,11,3.703978
3.0,15,3.722978
4.0,15,3.742977
4.0,47,3.803977
5.0,59,3.878977
1.0,5,3.885977
3.0,12,3.901977
3.0,19,3.926008
1.0,12,3.940979
2.0,11,3.955011
2.0,11,3.96901
3.0,31,4.007003
1.0,5,4.014012
2.0,10,4.026008
2.0,7,4.036003
5.0,27,4.069011
2.0,15,4.087008
2.0,11,4.102008
2.0,25,4.133789
2.0,11,4.148796
2.0,19,4.171782
4.0,19,4.195787
2.0,7,4.204788
4.0,27,4.238787
2.0,6,4.246787
3.0,27,4.279761
3.0,15,4.298756
3.0,15,4.317787
2.0,19,4.340787
2.0,15,4.359759
4.0,19,4.384755
1.0,6,4.392788
3.0,23,4.421789
2.0,7,4.431788
3.0,15,4.45079
4.0,20,4.476757
3.0,23,4.505757
3.0,27,5.876014
4.0,7,5.889471
3.0,10,5.90547
1.0,3,5.91147
1.0,2,5.91647
3.0,23,5.947469
2.0,15,5.968469
8.0,19,5.995469
3.0,7,6.006469
3.0,7,6.018471
2.0,7,6.027471
5.0,43,6.085469
3.0,23,6.114505
3.0,19,6.138501
3.0,14,6.156474
4.0,24,6.186474
4.0,14,6.204474
2.0,11,6.218474
7.0,35,6.264474
2.0,35,6.30847
2.0,15,6.32847
2.0,11,6.342471
4.0,11,6.356499
2.0,15,6.375501
4.0,18,6.398473
4.0,21,6.424474
5.0,13,6.441498
4.0,23,6.47047
2.0,12,6.485471
4.0,17,6.507497
4.0,56,6.576501
1.0,4,6.582504
3.0,7,6.591501
3.0,33,6.632501
3.0,6,6.640501
4.0,10,6.653504
4.0,12,6.668472
2.0,11,6.682474
5.0,11,6.69747
5.0,17,6.718501
1.0,14,6.736501
1.0,19,6.759501
1.0,3,6.76447
2.0,3,6.76847
1.0,3,6.77347
1.0,3,6.777473
8.0,26,6.80947
4.0,14,6.82747
2.0,11,6.8423
4.0,6,6.8493
3.0,15,6.867302
1.0,12,6.881298
3.0,7,6.89027
4.0,40,6.938273
1.0,3,6.942272
4.0,7,6.950273
4.0,8,6.960273
3.0,15,6.978273
3.0,15,6.996273
4.0,19,7.019274
2.0,15,7.037273
5.0,31,7.073273
4.0,11,7.087273
2.0,6,7.094273
2.0,7,7.103273
3.0,6,7.111273
2.0,7,7.119273
3.0,11,7.133273
8.0,15,7.151273
3.0,31,7.1883
2.0,15,7.206301
4.0,18,7.227273
3.0,5,7.233273
5.0,35,7.2753
2.0,7,7.285273
1.0,3,7.289274
2.0,8,7.300272
4.0,15,7.320271
2.0,11,7.33627
4.0,18,7.35827
2.0,7,7.36827
6.0,21,7.396053
2.0,3,7.400082
3.0,6,7.408084
3.0,19,7.433054
4.0,47,7.495058
2.0,7,7.505058
3.0,15,7.525058
3.0,19,7.550059
4.0,15,7.570057
3.0,23,7.599055
4.0,12,7.615057
1.0,3,7.619056
3.0,15,7.639057
2.0,7,7.652057
8.0,18,7.675053
4.0,21,7.700052
1.0,9,7.712058
1.0,3,7.716057
1.0,23,7.743057
1.0,9,7.754057
4.0,19,7.777056
2.0,3,7.781056
2.0,11,7.796054
4.0,21,7.825053
1.0,4,7.831053
3.0,14,7.849058
1.0,6,7.857059
2.0,15,7.876054
6.0,34,7.919056
3.0,15,7.9374
3.0,11,7.951402
6.0,18,7.976403
1.0,2,7.9794
1.0,3,7.983433
2.0,3,7.988401
2.0,15,8.006431
1.0,8,8.016434
3.0,27,8.055404
1.0,3,8.059404
2.0,11,8.072404
2.0,7,8.081404
4.0,15,8.099404
3.0,23,8.127405
8.0,14,8.144404
2.0,26,8.174404
3.0,9,8.185404
4.0,19,8.210149
2.0,7,8.219148
4.0,31,8.257148
4.0,13,8.273148
1.0,3,8.278149
4.0,23,8.309151
3.0,19,8.334148
5.0,20,8.360151
2.0,14,8.379179
5.0,55,8.45115
4.0,7,8.461152
4.0,11,8.476181
1.0,15,9.593354
5.0,9,9.605355
4.0,23,9.634355
5.0,32,9.677352
4.0,15,9.700355
3.0,15,9.719355
1.0,7,9.728355
2.0,7,9.739355
3.0,31,9.780352
5.0,11,9.794385
4.0,15,9.812356
3.0,11,9.825354
4.0,19,9.849353
3.0,15,9.867848
3.0,51,9.931816
3.0,7,9.940819
2.0,7,9.949819
2.0,11,9.964819
8.0,23,9.992815
2.0,15,10.011849
4.0,11,10.024846
