#{"t_start": 1743793487.1829495, "env_id": "sneaky_enemies"}
r,l,t
2.0,19,0.038671
7.0,28,0.081783
3.0,11,0.095291
2.0,7,0.104305
3.0,39,0.154852
3.0,15,0.179882
4.0,13,0.1949
1.0,7,0.206933
3.0,15,0.224968
3.0,23,0.253506
1.0,3,0.257508
3.0,19,0.280033
2.0,3,0.285038
2.0,3,0.28904
2.0,7,0.298582
5.0,47,0.356049
3.0,15,0.376055
2.0,7,0.384564
2.0,7,0.394073
2.0,6,0.401673
2.0,3,0.406217
1.0,3,0.410743
10.0,47,0.4689
2.0,7,0.477734
1.0,3,0.483947
3.0,11,0.498459
4.0,15,0.517118
1.0,5,0.523655
3.0,7,0.534174
2.0,19,0.556778
3.0,22,0.588262
2.0,27,0.623021
2.0,6,0.630023
1.0,5,0.637044
1.0,7,0.646555
10.0,46,0.708372
4.0,11,0.722996
2.0,7,0.732117
2.0,7,0.741662
2.0,7,0.750841
4.0,14,0.768324
2.0,32,0.808701
4.0,23,0.837079
1.0,13,0.852846
4.0,19,0.876137
1.0,11,0.888705
2.0,23,0.919079
3.0,15,0.936688
1.0,11,0.950884
2.0,7,0.960925
2.0,7,0.968936
1.0,3,0.974059
6.0,78,1.067519
3.0,19,1.091711
4.0,16,1.111732
1.0,15,1.135386
1.0,6,1.142908
4.0,7,1.152424
1.0,9,1.163992
2.0,17,1.184589
4.0,9,1.196128
1.0,4,1.202679
3.0,15,1.221881
2.0,27,1.257581
2.0,11,1.271192
3.0,11,1.284771
2.0,7,1.295274
3.0,7,1.305305
4.0,11,1.318829
2.0,6,1.327343
2.0,11,1.341379
2.0,27,1.375945
2.0,3,1.380425
2.0,3,1.384458
2.0,15,1.403068
1.0,7,1.412151
2.0,27,1.444007
2.0,19,1.469729
4.0,41,1.520642
1.0,7,1.530158
2.0,11,1.544681
4.0,18,1.565796
2.0,11,1.579973
3.0,15,1.597231
3.0,29,1.63433
3.0,11,1.647898
3.0,7,1.65715
3.0,7,1.669697
4.0,35,1.712861
5.0,15,1.731026
4.0,16,1.751228
4.0,11,1.764831
4.0,15,1.783177
3.0,7,1.792743
3.0,24,1.820006
3.0,8,1.830843
1.0,11,1.844035
1.0,4,1.849897
3.0,11,1.864712
1.0,5,1.871223
3.0,19,1.895267
2.0,7,1.904783
2.0,7,1.913817
2.0,15,1.931845
2.0,23,1.961408
6.0,45,2.015511
3.0,16,2.035548
4.0,19,2.05859
3.0,15,2.078213
4.0,26,2.108787
2.0,19,2.134396
1.0,7,2.142975
4.0,115,2.278239
7.0,31,2.314994
6.0,45,2.368242
2.0,3,2.374783
5.0,19,2.397894
2.0,11,2.411717
3.0,23,2.438721
4.0,31,2.477138
4.0,71,2.560737
4.0,39,3.861817
1.0,5,3.87033
1.0,7,3.882855
2.0,7,3.891362
4.0,16,3.915914
4.0,8,3.927423
2.0,23,3.957957
4.0,7,3.968469
6.0,17,3.991004
3.0,14,4.014558
6.0,23,4.049091
2.0,23,4.078498
5.0,31,4.118924
2.0,3,4.126464
3.0,7,4.134975
3.0,11,4.148437
1.0,3,4.153012
3.0,11,4.168449
3.0,15,4.187485
1.0,5,4.194003
2.0,7,4.20252
11.0,42,4.255421
3.0,23,4.284976
