#{"t_start": 1743793390.2158263, "env_id": "sneaky_enemies"}
r,l,t
2.0,7,0.019
6.0,60,0.099997
1.0,9,0.114998
12.0,77,0.220998
3.0,11,0.233997
1.0,7,0.242997
2.0,27,0.27503
2.0,11,0.288002
1.0,8,0.298002
5.0,34,0.338997
1.0,3,0.34303
4.0,31,0.379029
3.0,35,0.421029
1.0,13,0.43703
5.0,10,0.449029
2.0,21,0.474029
1.0,7,0.483029
2.0,7,0.492028
2.0,11,0.506002
4.0,31,0.543002
4.0,23,0.571002
1.0,23,0.600005
3.0,8,0.611002
2.0,3,0.616029
5.0,30,0.652997
3.0,31,0.690752
2.0,11,0.703755
3.0,15,0.72175
2.0,10,0.734755
2.0,11,0.747752
2.0,7,0.756757
2.0,7,0.765755
3.0,23,0.792755
9.0,27,0.823755
4.0,31,0.860755
1.0,5,0.867755
2.0,39,0.913755
3.0,19,0.936755
1.0,12,0.950756
5.0,34,0.990755
1.0,4,0.997392
2.0,23,1.025392
4.0,9,1.036387
1.0,5,1.043394
1.0,23,1.070392
3.0,31,1.108364
3.0,23,1.138364
1.0,4,1.143391
1.0,17,1.164397
4.0,27,1.196387
2.0,3,1.201396
4.0,7,1.210361
2.0,6,1.217391
5.0,59,1.287391
3.0,15,1.305392
2.0,15,1.324394
3.0,7,1.334387
1.0,7,1.343397
4.0,50,1.402389
6.0,47,1.458363
1.0,15,1.478366
1.0,26,1.509392
4.0,43,1.561201
2.0,7,1.570201
3.0,7,1.579201
3.0,15,1.5982
1.0,7,1.608204
4.0,27,1.640228
2.0,35,1.681198
2.0,11,1.69423
6.0,31,1.731227
4.0,55,1.796228
4.0,18,1.818227
1.0,17,1.839229
1.0,5,1.845227
2.0,11,1.859229
5.0,17,1.880714
4.0,21,1.907715
3.0,31,1.951712
2.0,15,1.969715
3.0,14,1.986715
4.0,39,2.036741
1.0,5,2.043742
2.0,19,2.067712
6.0,34,2.108713
2.0,6,2.115742
4.0,15,2.133739
1.0,3,2.137742
3.0,35,2.179737
2.0,51,2.238715
2.0,6,2.246742
2.0,7,2.255741
1.0,3,2.259744
1.0,5,2.265715
2.0,3,2.270739
3.0,11,2.283742
5.0,12,2.298742
1.0,4,2.303742
8.0,21,2.329741
1.0,3,2.333741
2.0,15,2.351741
2.0,7,2.360748
6.0,23,2.388742
3.0,8,2.399737
5.0,39,2.445741
2.0,31,2.483744
4.0,19,2.506742
1.0,15,2.524714
3.0,7,2.535715
2.0,19,3.677177
2.0,15,3.696176
1.0,11,3.714173
3.0,7,3.725175
2.0,7,3.737174
5.0,20,3.776176
2.0,12,3.800177
5.0,35,3.861176
4.0,9,3.872176
1.0,11,3.887176
4.0,14,3.905174
4.0,7,3.915175
4.0,13,3.931206
8.0,33,3.973179
2.0,7,3.983199
2.0,7,3.992207
3.0,6,4.000207
2.0,8,4.010207
1.0,13,4.026206
4.0,12,4.041206
4.0,39,4.091176
4.0,10,4.103176
2.0,11,4.116176
2.0,17,4.137176
2.0,29,4.172174
2.0,8,4.182176
3.0,11,4.196176
7.0,27,4.229176
4.0,19,4.252176
2.0,11,4.266176
2.0,7,4.275176
4.0,23,4.303174
4.0,15,4.321176
1.0,4,4.326176
1.0,3,4.330176
6.0,20,4.354176
2.0,11,4.368176
2.0,11,4.382176
2.0,7,4.391176
2.0,21,4.416176
1.0,7,4.425176
2.0,3,4.429176
3.0,19,4.452176
3.0,17,4.473176
9.0,46,4.527176
2.0,17,4.548176
1.0,14,4.565176
2.0,7,4.574175
4.0,13,4.590179
3.0,11,4.604207
7.0,19,4.627205
6.0,29,4.662208
1.0,2,4.665207
4.0,12,4.680207
4.0,15,4.699201
1.0,4,4.704179
2.0,5,4.711179
3.0,7,4.720179
5.0,47,4.776577
2.0,7,4.785574
3.0,15,4.803573
1.0,17,4.824575
2.0,7,4.833574
3.0,15,4.852573
3.0,11,4.865575
3.0,15,4.884574
3.0,15,4.902575
2.0,7,4.911605
5.0,19,4.935604
1.0,4,4.940606
2.0,11,4.954604
4.0,8,4.964574
2.0,6,4.972575
2.0,3,4.976574
3.0,27,5.009575
1.0,3,5.013575
2.0,11,5.027575
5.0,39,5.074574
5.0,24,5.103575
3.0,10,5.116573
1.0,7,5.124574
3.0,15,5.143574
4.0,11,5.157575
4.0,11,5.170574
2.0,15,5.189574
2.0,11,5.202574
2.0,7,5.211574
1.0,2,5.214574
5.0,63,5.290574
5.0,31,5.327575
1.0,15,5.346574
2.0,15,5.364574
3.0,31,5.402575
4.0,15,5.421604
5.0,16,5.441578
1.0,7,5.450577
1.0,7,5.459578
5.0,27,5.492578
1.0,7,5.501578
3.0,15,5.519578
3.0,20,5.544578
4.0,10,5.556578
3.0,7,5.566578
1.0,7,5.575577
1.0,5,5.581577
4.0,43,5.634574
1.0,7,5.643574
1.0,3,5.647574
3.0,26,5.678573
8.0,22,5.705574
2.0,5,5.711574
13.0,48,5.768608
10.0,46,5.822605
3.0,22,5.849578
2.0,7,5.857604
2.0,7,5.866601
1.0,6,5.874604
3.0,15,5.892604
4.0,16,5.912608
1.0,15,5.930602
3.0,19,5.953606
2.0,7,5.962603
1.0,7,5.971575
3.0,19,5.995611
1.0,10,6.007607
2.0,7,6.016604
2.0,23,6.043604
5.0,27,6.075605
2.0,15,6.093604
3.0,19,6.117451
1.0,8,6.127422
4.0,15,6.145422
1.0,6,6.15242
4.0,16,6.171421
2.0,7,6.18042
1.0,3,6.18442
3.0,6,6.19242
11.0,46,7.382418
4.0,15,7.403419
5.0,11,7.421419
2.0,7,7.432416
