#{"t_start": 1743793581.931727, "env_id": "sneaky_enemies"}
r,l,t
4.0,12,0.025134
4.0,15,0.047168
2.0,11,0.064708
5.0,23,0.097253
3.0,31,0.140298
5.0,17,0.162325
1.0,19,0.186354
4.0,17,0.212895
3.0,5,0.218892
1.0,4,0.224401
2.0,19,0.248426
2.0,11,0.262969
1.0,3,0.266966
3.0,11,0.280476
2.0,27,0.313607
3.0,8,0.324179
4.0,16,0.343302
3.0,23,0.37181
2.0,7,0.380336
3.0,19,0.404898
3.0,15,0.424961
4.0,19,0.44799
3.0,19,0.472048
3.0,17,0.494096
3.0,19,0.517135
4.0,27,0.550696
2.0,19,0.574255
6.0,41,0.626865
1.0,7,0.639406
2.0,8,0.64993
3.0,27,0.684723
2.0,12,0.699779
1.0,3,0.704287
2.0,9,0.717849
4.0,8,0.728139
6.0,47,0.788003
1.0,7,0.797518
5.0,14,0.814552
2.0,7,0.824076
3.0,15,0.844112
2.0,15,0.864256
4.0,9,0.874775
2.0,15,0.89482
3.0,28,0.93038
5.0,16,0.95043
3.0,23,0.978461
2.0,31,1.015255
2.0,23,1.042914
2.0,7,1.050923
3.0,35,1.095246
4.0,11,1.109758
5.0,13,1.125937
1.0,2,1.127932
1.0,5,1.13547
5.0,43,1.189854
5.0,39,1.236603
1.0,11,1.250145
4.0,39,1.297538
3.0,31,1.333831
4.0,39,1.383978
2.0,19,1.407163
4.0,27,1.439754
2.0,15,1.456928
7.0,27,1.49006
1.0,14,1.507121
1.0,6,1.514699
1.0,7,1.523273
5.0,59,1.594697
1.0,11,1.608214
5.0,15,1.626248
2.0,7,1.636768
2.0,8,1.646284
5.0,35,1.690955
3.0,15,1.70899
1.0,12,1.727028
3.0,13,1.743064
3.0,11,1.756579
4.0,12,1.77261
5.0,28,1.80793
3.0,19,1.82995
4.0,19,1.85465
2.0,8,1.864217
2.0,19,1.888313
1.0,5,1.894887
1.0,2,1.897887
2.0,19,1.919968
3.0,11,1.934152
2.0,5,1.940152
2.0,11,1.953293
1.0,7,1.962827
3.0,19,1.985999
3.0,11,1.999559
2.0,3,2.005089
