#{"t_start": 1743793773.169447, "env_id": "sneaky_enemies"}
r,l,t
3.0,23,0.041062
2.0,11,0.056077
1.0,7,0.067584
4.0,11,0.084095
2.0,11,0.097614
4.0,22,0.12714
2.0,7,0.136649
2.0,15,0.157664
5.0,18,0.185705
1.0,4,0.192224
3.0,24,0.224282
1.0,7,0.233801
5.0,15,0.252834
1.0,7,0.26235
3.0,5,0.268869
1.0,5,0.274864
1.0,3,0.279373
3.0,27,0.312407
4.0,11,0.32751
1.0,11,0.341081
4.0,22,0.366779
4.0,23,0.393914
2.0,3,0.398024
1.0,2,0.401021
6.0,31,0.439978
3.0,14,0.458986
2.0,7,0.468592
2.0,11,0.481158
1.0,7,0.490702
2.0,11,0.504311
2.0,15,0.52246
2.0,14,0.540573
1.0,5,0.547174
1.0,3,0.551178
10.0,42,0.60239
3.0,19,0.627937
1.0,7,0.638544
4.0,19,0.664123
1.0,7,0.674667
3.0,7,0.684113
1.0,8,0.694655
5.0,15,0.724468
1.0,2,0.727984
4.0,31,0.767142
8.0,17,0.788776
2.0,7,0.797293
2.0,7,0.806822
2.0,15,0.825846
3.0,15,0.844371
3.0,13,0.860395
4.0,23,0.889924
4.0,23,0.91868
1.0,6,0.926221
2.0,15,0.943818
4.0,19,0.968529
1.0,5,0.975503
3.0,15,0.993624
1.0,3,0.997697
5.0,50,1.05716
1.0,6,1.064162
3.0,11,1.080286
4.0,25,1.111347
1.0,3,1.114347
4.0,31,1.155507
6.0,12,1.172051
3.0,9,1.183625
1.0,5,1.189159
5.0,26,1.220441
1.0,28,1.254127
1.0,7,1.263695
1.0,3,1.268264
2.0,11,1.282834
4.0,9,1.293401
4.0,27,1.32724
2.0,8,1.336773
5.0,39,1.383004
2.0,32,1.420799
1.0,8,1.431366
3.0,11,1.443918
1.0,13,1.462031
4.0,15,1.482091
5.0,14,1.500725
3.0,12,1.514934
2.0,7,1.523504
1.0,7,1.533077
4.0,51,1.595847
4.0,7,1.604511
4.0,15,1.623666
1.0,5,1.630192
5.0,19,1.653348
2.0,11,1.668497
2.0,13,1.684067
2.0,21,1.71115
1.0,7,1.720698
3.0,23,1.749253
2.0,11,1.762856
2.0,11,1.775955
3.0,11,1.790546
3.0,38,1.837455
3.0,15,1.855978
3.0,15,1.875585
3.0,16,1.894185
3.0,11,1.907837
2.0,11,1.922411
1.0,7,1.931903
9.0,26,1.963453
3.0,35,2.006538
2.0,3,2.010543
3.0,10,2.023061
1.0,3,2.027573
3.0,15,2.046608
1.0,11,2.061132
2.0,11,2.07465
2.0,11,2.088744
1.0,7,2.09686
3.0,23,2.125916
3.0,35,2.168711
4.0,29,2.203489
2.0,19,2.227017
3.0,19,2.250733
2.0,9,2.261903
6.0,31,2.29927
3.0,11,2.312883
12.0,38,2.361598
2.0,6,2.369115
1.0,4,2.374115
2.0,12,2.39015
3.0,15,2.407706
3.0,7,2.418222
1.0,3,2.423222
4.0,15,2.440861
4.0,15,2.460978
1.0,9,2.472581
4.0,35,2.513983
2.0,7,2.523551
3.0,35,2.563848
3.0,11,2.577984
1.0,5,2.58552
2.0,11,2.599634
2.0,7,2.608219
7.0,26,3.828938
3.0,35,3.895565
4.0,15,3.917119
2.0,11,3.932641
1.0,11,3.949656
2.0,15,3.969675
1.0,2,3.973676
6.0,30,4.018584
1.0,3,4.023586
3.0,11,4.036602
4.0,35,4.086287
3.0,11,4.100809
4.0,31,4.142029
4.0,23,4.171583
4.0,13,4.18862
2.0,23,4.2177
3.0,11,4.232215
3.0,36,4.276806
5.0,23,4.305865
4.0,27,4.340427
2.0,15,4.359462
3.0,15,4.381533
2.0,11,4.396531
3.0,50,4.458597
3.0,9,4.469167
1.0,3,4.474168
3.0,26,4.506933
2.0,6,4.514963
2.0,7,4.523535
1.0,15,4.542648
1.0,12,4.556732
3.0,11,4.570248
3.0,4,4.575756
1.0,7,4.586277
2.0,19,4.609836
5.0,50,4.671939
3.0,23,4.700494
5.0,22,4.728564
1.0,11,4.745589
2.0,7,4.7556
5.0,15,4.773634
3.0,23,4.802696
10.0,24,4.833302
3.0,19,4.857198
2.0,34,4.90228
3.0,19,4.926334
2.0,7,4.934337
1.0,8,4.944847
2.0,11,4.959868
4.0,63,5.036408
5.0,21,5.061582
2.0,15,5.080708
3.0,19,5.104404
2.0,7,5.113982
4.0,31,5.153145
5.0,31,5.190345
5.0,32,5.230047
1.0,15,5.249657
3.0,11,5.26474
3.0,11,5.278012
2.0,11,5.293552
2.0,25,5.323627
1.0,3,5.327144
4.0,27,5.361694
1.0,3,5.365694
2.0,8,5.376731
3.0,15,5.395756
4.0,27,5.435993
3.0,24,5.471617
3.0,19,5.496151
2.0,19,5.519707
3.0,27,5.552863
7.0,23,5.58209
4.0,11,5.597118
3.0,19,5.62471
1.0,15,5.642553
4.0,19,5.666157
1.0,16,5.685763
1.0,3,5.689332
2.0,11,5.704045
3.0,11,5.718155
2.0,5,5.724188
10.0,36,5.767852
4.0,11,5.780367
4.0,8,5.790894
3.0,7,5.800402
3.0,11,5.814435
2.0,3,5.817953
1.0,3,5.821953
3.0,21,5.850553
5.0,19,5.876254
2.0,11,5.889833
3.0,7,5.898404
2.0,7,5.907516
1.0,3,5.913486
3.0,19,5.9372
1.0,11,5.95077
1.0,7,5.960316
4.0,14,5.977351
4.0,12,5.993895
2.0,23,6.023106
4.0,23,6.053789
8.0,31,6.093523
9.0,26,6.126276
3.0,23,6.154316
1.0,2,6.156835
4.0,27,6.190386
4.0,15,6.211756
2.0,11,6.225883
3.0,11,6.240406
3.0,12,6.256439
2.0,23,6.286106
3.0,15,6.304143
5.0,21,6.332689
2.0,11,6.346726
9.0,35,6.389798
2.0,23,6.419865
2.0,7,6.429382
2.0,7,6.438901
1.0,3,6.442901
3.0,18,6.466449
1.0,3,6.470455
3.0,10,7.712875
5.0,35,7.779004
7.0,22,7.820631
1.0,7,7.833151
7.0,18,7.859672
3.0,4,7.867787
9.0,38,7.924366
2.0,11,7.944393
6.0,48,8.008763
3.0,35,8.050968
3.0,31,8.09225
6.0,18,8.114284
4.0,15,8.134351
1.0,13,8.151484
2.0,27,8.192669
5.0,55,8.26347
4.0,19,8.288023
4.0,14,8.306051
3.0,8,8.316581
3.0,14,8.3341
6.0,21,8.360653
3.0,12,8.377256
2.0,7,8.386775
4.0,15,8.40637
2.0,11,8.421909
5.0,23,8.451462
5.0,12,8.47151
3.0,11,8.486628
3.0,23,8.516832
4.0,27,8.554373
4.0,23,8.587593
3.0,19,8.612143
3.0,19,8.63831
4.0,11,8.652883
1.0,11,8.668015
4.0,15,8.687156
2.0,15,8.70626
1.0,2,8.708832
2.0,7,8.719397
2.0,7,8.728948
3.0,15,8.746985
3.0,15,8.769017
4.0,8,8.780538
5.0,55,8.85218
3.0,4,8.857698
3.0,55,8.926339
3.0,15,8.947133
3.0,10,8.959641
1.0,5,8.968166
2.0,31,9.012246
11.0,35,9.058027
4.0,16,9.07906
2.0,11,9.095591
3.0,20,9.119713
3.0,13,9.137752
3.0,19,9.160788
8.0,30,9.197088
3.0,7,9.20562
4.0,10,9.220775
5.0,35,9.26636
3.0,43,9.32097
2.0,7,9.329489
2.0,11,9.344007
2.0,7,9.353524
5.0,23,9.384077
7.0,18,9.407623
1.0,3,9.412137
4.0,15,9.431171
4.0,11,9.445689
3.0,27,9.478757
2.0,7,9.488273
2.0,19,9.512879
1.0,4,9.519006
2.0,11,9.532585
6.0,32,9.574761
5.0,24,9.604141
2.0,15,9.622818
2.0,7,9.632338
3.0,23,9.660887
3.0,21,9.68952
7.0,24,9.719722
2.0,7,9.729239
