#{"t_start": 1743793677.0944746, "env_id": "sneaky_enemies"}
r,l,t
2.0,23,0.040435
3.0,15,0.063465
1.0,3,0.068467
3.0,47,0.134646
4.0,35,0.181191
4.0,15,0.200202
1.0,11,0.213731
3.0,19,0.237767
1.0,2,0.241282
3.0,7,0.24979
4.0,16,0.271856
4.0,14,0.289824
1.0,19,0.31385
5.0,27,0.345204
1.0,3,0.349718
1.0,11,0.365068
2.0,11,0.378642
2.0,11,0.391751
1.0,2,0.394756
3.0,27,0.430863
1.0,9,0.446342
3.0,35,0.49406
1.0,14,0.513097
4.0,15,0.534132
2.0,15,0.556176
2.0,3,0.561752
2.0,13,0.58074
6.0,44,0.645411
3.0,14,0.66814
5.0,35,0.718376
7.0,67,0.806207
4.0,27,0.840263
4.0,27,0.873826
4.0,15,0.891856
1.0,3,0.897868
7.0,23,0.925158
1.0,13,0.942161
2.0,11,0.955679
2.0,7,0.965197
2.0,11,0.980219
3.0,19,1.005957
2.0,7,1.014523
1.0,3,1.018529
1.0,2,1.022097
2.0,23,1.049659
3.0,27,1.083302
3.0,17,1.105034
4.0,27,1.148869
1.0,7,1.159017
1.0,6,1.166526
2.0,20,1.191209
2.0,11,1.2053
3.0,27,1.238848
1.0,6,1.246364
5.0,35,1.28843
2.0,7,1.297948
2.0,17,1.318986
1.0,7,1.328581
1.0,5,1.335154
4.0,23,1.36257
3.0,11,1.376141
3.0,27,1.409943
2.0,15,1.428393
2.0,27,1.461633
3.0,52,1.531952
2.0,7,1.540491
1.0,3,1.545492
1.0,9,1.556093
2.0,7,1.56466
5.0,15,1.584778
5.0,25,1.61608
2.0,18,1.638231
5.0,20,1.663922
4.0,7,1.673489
3.0,23,1.702616
3.0,18,1.72476
3.0,11,1.738272
4.0,23,1.764982
3.0,7,1.77547
9.0,54,1.841789
2.0,17,1.864794
4.0,23,1.89134
1.0,9,1.904483
4.0,28,1.939139
3.0,15,1.957963
3.0,19,1.981697
1.0,6,1.989667
1.0,3,1.994226
3.0,18,2.016948
2.0,27,2.051199
2.0,19,2.074318
4.0,17,2.095307
5.0,75,2.19237
1.0,2,2.195365
2.0,11,2.210057
3.0,16,2.231205
3.0,11,2.244777
1.0,6,2.252319
2.0,15,2.27544
1.0,5,2.282984
4.0,15,2.300066
2.0,7,2.308719
4.0,39,2.359916
4.0,31,2.39863
2.0,7,2.410361
3.0,9,2.421963
4.0,8,2.43253
2.0,17,2.457196
1.0,23,2.488608
2.0,6,2.498122
4.0,31,2.552146
2.0,5,2.562661
2.0,11,2.582705
4.0,9,2.611503
5.0,36,2.683241
2.0,3,2.68824
1.0,9,2.701268
3.0,23,2.740362
3.0,32,4.097111
2.0,5,4.10362
2.0,23,4.141458
2.0,7,4.152969
2.0,23,4.184505
6.0,46,4.256595
4.0,13,4.277618
6.0,45,4.337181
2.0,6,4.344774
4.0,10,4.35735
2.0,7,4.365915
3.0,20,4.392445
5.0,39,4.443636
12.0,56,4.510985
6.0,26,4.54258
3.0,25,4.574262
3.0,35,4.617051
2.0,6,4.625621
4.0,19,4.649737
2.0,33,4.688805
4.0,14,4.706494
3.0,38,4.752316
1.0,11,4.764893
3.0,19,4.791562
2.0,15,4.808698
4.0,27,4.841959
6.0,36,4.886129
2.0,7,4.89473
4.0,15,4.914453
3.0,15,4.932594
2.0,11,4.947109
6.0,47,5.00455
3.0,15,5.025186
4.0,11,5.041218
1.0,11,5.054742
4.0,23,5.084308
2.0,19,5.110004
6.0,62,5.189138
5.0,35,5.240524
1.0,7,5.250091
2.0,15,5.268699
6.0,24,5.301295
2.0,21,5.33042
4.0,37,5.376712
4.0,35,5.421014
4.0,31,5.461117
1.0,3,5.465117
4.0,13,5.482153
1.0,3,5.486153
3.0,7,5.497724
4.0,15,5.516969
3.0,35,5.559753
5.0,39,5.608493
4.0,43,5.663368
2.0,7,5.672947
8.0,11,5.686486
3.0,7,5.696062
2.0,23,5.724792
3.0,16,5.745833
4.0,31,5.787944
3.0,6,5.795517
2.0,11,5.80864
4.0,32,5.852032
4.0,11,5.865601
2.0,7,5.87517
2.0,11,5.888684
3.0,23,5.916859
8.0,18,5.940392
1.0,11,5.953919
1.0,3,5.958919
3.0,23,5.986527
6.0,16,6.00808
3.0,11,6.024117
3.0,11,6.041791
2.0,9,6.054269
3.0,19,6.088305
3.0,19,6.123506
2.0,7,6.133059
4.0,16,6.155084
3.0,7,6.164653
2.0,5,6.171194
2.0,7,6.180789
4.0,44,6.235103
4.0,15,6.257761
3.0,11,6.272847
4.0,11,6.289895
4.0,22,6.31916
2.0,11,6.333184
1.0,7,6.342698
4.0,14,6.360741
5.0,30,6.398335
2.0,11,6.41302
2.0,8,6.422592
3.0,7,6.432073
2.0,7,6.442602
4.0,14,6.460116
4.0,23,6.490172
1.0,9,6.501699
4.0,22,6.529762
3.0,15,6.548329
1.0,3,6.553838
3.0,31,6.593628
3.0,11,6.610162
3.0,11,6.625195
3.0,47,6.687629
2.0,9,6.700661
1.0,3,6.705667
4.0,10,6.719701
3.0,27,6.753772
3.0,11,6.76829
2.0,7,6.777808
1.0,7,6.787376
3.0,27,8.133185
5.0,33,8.192782
3.0,26,8.240131
4.0,30,8.285701
3.0,8,8.295215
3.0,13,8.312247
4.0,12,8.327761
3.0,7,8.336267
1.0,7,8.345779
3.0,32,8.387362
4.0,23,8.416918
4.0,25,8.448473
5.0,31,8.48604
4.0,27,8.520104
6.0,45,8.577754
2.0,7,8.586862
3.0,11,8.602987
3.0,12,8.618552
4.0,27,8.651771
2.0,7,8.661339
2.0,11,8.674915
4.0,11,8.690414
4.0,9,8.700991
1.0,3,8.706017
2.0,7,8.715593
2.0,19,8.741184
3.0,11,8.754704
2.0,7,8.76322
8.0,23,8.793105
3.0,23,8.821737
4.0,13,8.838328
2.0,11,8.853039
1.0,5,8.860039
4.0,18,8.880721
4.0,13,8.898849
2.0,11,8.914981
3.0,13,8.932092
5.0,34,8.976042
3.0,7,8.986185
3.0,6,8.99375
4.0,23,9.02332
4.0,18,9.047438
3.0,23,9.07595
1.0,3,9.080461
5.0,19,9.105017
4.0,16,9.126127
4.0,19,9.150767
5.0,21,9.178534
4.0,12,9.195199
4.0,8,9.20577
3.0,11,9.218339
5.0,47,9.281785
2.0,17,9.303481
1.0,11,9.317
4.0,23,9.345745
3.0,7,9.355263
3.0,6,9.363197
4.0,10,9.37581
1.0,3,9.381331
10.0,38,9.430486
4.0,19,9.455618
4.0,27,9.48876
2.0,7,9.498278
2.0,27,9.531387
1.0,11,9.544996
3.0,6,9.553566
1.0,6,9.563114
5.0,23,9.594311
1.0,5,9.601855
2.0,7,9.610367
7.0,15,9.628886
6.0,44,9.683286
2.0,11,9.699819
3.0,20,9.723369
1.0,7,9.733902
4.0,8,9.74442
3.0,48,9.802215
1.0,3,9.806218
5.0,46,9.86656
2.0,3,9.870101
2.0,7,9.879137
3.0,27,9.913874
2.0,40,9.963726
3.0,19,9.988393
1.0,7,9.996942
1.0,8,10.007469
3.0,15,10.026607
5.0,21,10.052181
5.0,26,10.085253
4.0,13,10.101277
5.0,15,10.120306
2.0,15,10.139832
4.0,19,10.164438
4.0,27,10.202131
5.0,22,10.229167
3.0,11,10.243207
2.0,21,10.272518
4.0,16,10.293189
3.0,7,10.301753
2.0,15,10.321844
3.0,21,10.346983
2.0,7,10.357517
7.0,15,10.377669
4.0,19,10.401884
3.0,7,10.410424
4.0,27,10.445076
1.0,7,10.454642
4.0,39,10.50289
2.0,15,10.52198
2.0,15,10.540094
4.0,9,10.551698
9.0,27,10.583918
3.0,12,10.598524
2.0,7,10.60807
3.0,20,10.633623
2.0,7,10.643142
2.0,7,10.653657
2.0,7,10.663176
3.0,19,10.685726
9.0,51,10.750648
2.0,13,10.767223
8.0,26,12.08443
2.0,11,12.100952
3.0,6,12.110458
2.0,11,12.13049
9.0,35,12.188583
3.0,15,12.213015
3.0,17,12.245567
3.0,19,12.280303
1.0,3,12.286818
4.0,39,12.342685
4.0,7,12.352199
10.0,32,12.396411
5.0,11,12.417153
3.0,31,12.457336
5.0,25,12.488
4.0,19,12.511527
2.0,11,12.527053
10.0,27,12.560073
3.0,15,12.584121
4.0,19,12.615792
4.0,24,12.645313
2.0,3,12.650838
2.0,7,12.66089
4.0,17,12.681924
2.0,3,12.686435
2.0,3,12.691956
1.0,2,12.695965
2.0,7,12.705483
2.0,9,12.718004
1.0,7,12.727524
4.0,19,12.755083
2.0,11,12.768602
3.0,19,12.792671
4.0,19,12.815788
4.0,22,12.845325
4.0,27,12.881374
9.0,42,12.934065
3.0,11,12.947572
4.0,13,12.9636
