#{"t_start": 1743754590.9244432, "env_id": "maze"}
r,l,t
26.0,500,1.898935
18.0,500,2.251656
15.0,500,2.616189
17.0,500,2.993245
29.0,500,4.557651
25.0,500,4.899467
24.0,500,5.235261
31.0,500,5.572935
24.0,500,6.984252
25.0,500,7.332182
25.0,500,7.680722
24.0,500,8.036859
29.0,500,9.454932
28.0,500,9.78772
12.0,500,10.12083
29.0,500,10.45434
31.0,500,11.982987
30.0,500,12.324689
27.0,500,12.666642
33.0,276,12.860905
32.0,500,14.377826
31.0,500,14.767903
33.0,336,15.032628
30.0,500,15.431864
31.0,500,15.806169
35.0,438,17.429533
33.0,253,17.620511
33.0,500,17.988851
32.0,500,18.34813
34.0,198,18.489482
29.0,500,20.241913
33.0,291,20.45384
33.0,478,20.794852
31.0,500,21.143194
30.0,500,21.495282
32.0,500,23.037178
20.0,500,23.369775
19.0,500,23.704158
29.0,500,24.037899
27.0,500,25.475215
33.0,219,25.629244
34.0,187,25.758792
19.0,500,26.104111
19.0,500,26.440713
33.0,247,26.622095
18.0,500,28.102466
21.0,500,28.463542
34.0,459,28.776723
18.0,500,29.118931
20.0,500,30.593401
18.0,500,30.935952
18.0,500,31.279147
19.0,500,31.614875
18.0,500,33.046695
19.0,500,33.37995
18.0,500,33.719147
19.0,500,34.054778
19.0,500,35.642854
35.0,288,35.851564
27.0,500,36.188328
33.0,439,36.484037
20.0,500,36.816432
33.0,500,38.257777
33.0,381,38.513013
33.0,299,38.719534
31.0,500,39.057118
