#{"t_start": 1743396032.1313481, "env_id": "sneaky_enemies"}
r,l,t
4.0,19,0.036998
3.0,7,0.049001
2.0,19,0.077998
4.0,16,0.102997
3.0,31,0.141997
1.0,23,0.174999
3.0,23,0.207031
4.0,35,0.248029
5.0,42,0.297001
4.0,13,0.314029
2.0,7,0.322031
2.0,11,0.336031
4.0,11,0.349031
2.0,7,0.358029
1.0,3,0.362034
3.0,7,0.371032
1.0,3,0.374998
3.0,15,0.39303
2.0,43,0.444998
3.0,27,0.476998
1.0,7,0.485999
4.0,19,0.50803
3.0,11,0.522026
2.0,21,0.546031
2.0,6,0.554034
1.0,11,0.567031
2.0,17,0.587999
1.0,7,0.596998
2.0,7,0.606999
2.0,15,0.626002
5.0,22,0.652027
2.0,23,0.68003
3.0,23,0.708
3.0,12,0.723032
5.0,32,0.762519
3.0,27,0.794513
3.0,59,0.862513
2.0,23,0.88951
4.0,15,0.907482
3.0,19,0.930496
3.0,28,0.964513
5.0,43,1.014513
1.0,7,1.023513
8.0,31,1.060515
4.0,51,1.121484
1.0,7,1.130482
1.0,5,1.137481
1.0,4,1.143483
3.0,19,1.166514
1.0,15,1.183513
1.0,3,1.187512
3.0,30,1.222512
3.0,19,1.244512
2.0,19,1.267517
4.0,31,1.303512
1.0,7,1.311513
6.0,24,1.34009
2.0,11,1.353091
2.0,9,1.364084
2.0,27,1.396092
2.0,16,1.41509
2.0,11,1.428089
2.0,7,1.437088
5.0,64,1.510088
4.0,60,1.579091
3.0,7,1.58709
3.0,11,1.601089
4.0,16,1.62009
3.0,7,1.628094
3.0,15,1.646088
6.0,28,1.67809
2.0,11,1.692089
1.0,7,1.701089
1.0,23,1.728094
3.0,15,1.74709
1.0,3,1.751095
3.0,19,1.773089
2.0,50,1.83109
3.0,39,1.877089
2.0,3,1.88209
2.0,7,1.891089
5.0,31,1.92709
5.0,30,1.963092
4.0,25,1.993086
1.0,6,2.00109
4.0,39,2.047089
3.0,31,2.084059
4.0,19,2.107092
3.0,15,2.125089
3.0,27,2.157089
2.0,7,2.16609
2.0,11,2.179089
2.0,15,2.197089
2.0,8,2.207089
2.0,14,2.224089
4.0,26,2.254089
7.0,27,2.286089
5.0,23,2.313092
5.0,27,2.345089
3.0,11,2.35909
4.0,27,2.390089
4.0,19,2.41309
3.0,34,2.45309
4.0,39,3.536055
3.0,39,3.588058
2.0,19,3.613058
3.0,7,3.624058
6.0,36,3.693057
3.0,15,3.724057
2.0,32,3.766058
1.0,3,3.770058
2.0,37,3.813082
3.0,27,3.847091
4.0,35,3.889088
2.0,15,3.907089
2.0,11,3.920089
2.0,3,3.925088
1.0,18,3.949088
6.0,27,3.981088
1.0,18,4.002083
1.0,12,4.017088
1.0,7,4.025085
2.0,11,4.039091
4.0,15,4.05706
3.0,7,4.066061
