#{"t_start": 1743754295.1452782, "env_id": "sneaky_enemies"}
r,l,t
3.0,13,0.026032
1.0,6,0.035542
2.0,3,0.040052
8.0,39,0.100134
5.0,20,0.12924
2.0,35,0.177813
3.0,31,0.218743
2.0,30,0.255292
1.0,3,0.259811
4.0,27,0.29236
4.0,11,0.306874
4.0,49,0.369147
3.0,11,0.38466
3.0,21,0.414769
2.0,3,0.42014
4.0,31,0.461058
3.0,42,0.514555
1.0,9,0.526089
2.0,11,0.540738
1.0,6,0.549253
3.0,23,0.581804
3.0,19,0.612108
1.0,2,0.615106
2.0,12,0.635691
2.0,11,0.65033
4.0,14,0.667933
4.0,17,0.692138
1.0,8,0.705655
4.0,8,0.7172
2.0,17,0.737911
1.0,19,0.764787
4.0,7,0.774954
4.0,19,0.799927
1.0,3,0.804926
2.0,3,0.809091
1.0,3,0.813119
4.0,35,0.857134
2.0,3,0.861309
3.0,18,0.884034
5.0,30,0.936924
3.0,10,0.95223
1.0,4,0.958229
4.0,15,0.977959
6.0,19,1.002782
2.0,7,1.013105
1.0,6,1.021186
5.0,31,1.062981
2.0,11,1.077085
1.0,11,1.092107
4.0,17,1.114638
1.0,11,1.128173
5.0,27,1.163191
3.0,23,1.191102
3.0,19,1.215228
3.0,19,1.237929
3.0,11,1.254145
4.0,39,1.302361
2.0,5,1.308934
3.0,19,1.333042
2.0,15,1.352167
2.0,23,1.383696
1.0,5,1.391204
4.0,7,1.399775
3.0,11,1.414338
1.0,3,1.418498
1.0,3,1.422503
3.0,7,1.432068
3.0,11,1.445654
4.0,28,1.481117
4.0,26,1.514031
3.0,9,1.526578
1.0,2,1.529151
3.0,43,1.584092
6.0,35,1.628013
2.0,7,1.63717
4.0,30,1.674227
4.0,15,1.692958
2.0,19,1.716351
1.0,4,1.722254
2.0,11,1.735824
1.0,7,1.745955
4.0,13,1.76199
1.0,5,1.768501
1.0,7,1.776505
3.0,7,1.786023
2.0,3,1.790542
3.0,11,1.805057
2.0,19,1.828115
6.0,35,1.870195
3.0,10,1.882709
3.0,18,1.904743
2.0,13,1.921348
3.0,15,1.939382
4.0,40,1.991067
8.0,16,2.012208
1.0,2,2.015209
2.0,19,2.038382
4.0,12,2.053905
1.0,7,2.062423
3.0,19,2.086455
2.0,15,2.104489
1.0,3,2.109007
2.0,3,2.113007
3.0,15,2.132054
3.0,45,2.185637
2.0,7,2.195155
2.0,23,2.222225
1.0,3,2.227224
3.0,11,2.240258
1.0,14,2.258284
4.0,9,2.26981
2.0,16,2.289948
1.0,7,2.298525
4.0,30,2.335271
2.0,7,2.344836
1.0,3,2.348986
1.0,3,2.353991
3.0,27,2.387969
1.0,3,2.392129
6.0,47,2.449268
3.0,31,2.487153
4.0,19,2.510033
2.0,7,2.519226
1.0,5,2.526767
1.0,3,2.530899
5.0,25,2.561808
1.0,5,2.568986
4.0,20,2.593287
1.0,3,2.597826
3.0,23,2.626705
7.0,35,2.672163
1.0,3,2.676166
1.0,19,3.830838
2.0,20,3.858493
4.0,33,3.904434
2.0,7,3.91595
4.0,14,3.942028
3.0,39,4.007126
2.0,7,4.020155
4.0,39,4.070239
8.0,19,4.093273
2.0,11,4.107789
4.0,27,4.141919
4.0,25,4.175196
3.0,11,4.188884
3.0,7,4.19837
4.0,12,4.214891
3.0,19,4.23797
6.0,31,4.284043
5.0,15,4.308416
5.0,43,4.374477
4.0,27,4.411575
7.0,19,4.435338
1.0,3,4.440883
2.0,14,4.459196
3.0,7,4.467726
2.0,7,4.476762
2.0,15,4.496077
1.0,2,4.499227
3.0,15,4.517796
2.0,11,4.532032
5.0,31,4.570849
3.0,27,4.604887
3.0,11,4.617928
2.0,11,4.632959
5.0,30,4.668989
4.0,25,4.698869
2.0,15,4.717968
2.0,11,4.731093
3.0,10,4.744253
2.0,7,4.752796
1.0,7,4.761368
1.0,7,4.770939
1.0,3,4.774967
3.0,31,4.813099
3.0,11,4.826733
4.0,19,4.851323
4.0,15,4.869349
3.0,15,4.889498
3.0,75,4.982112
7.0,35,5.025742
3.0,11,5.04124
2.0,15,5.05932
5.0,33,5.098769
2.0,7,5.108248
4.0,11,5.121848
3.0,23,5.150327
4.0,15,5.169503
5.0,27,5.202765
6.0,28,5.237197
3.0,23,5.266485
6.0,16,5.287189
2.0,11,5.301218
5.0,22,5.328053
3.0,7,5.33809
4.0,19,5.361392
4.0,11,5.375953
5.0,23,5.405847
1.0,3,5.409983
4.0,17,5.431276
1.0,3,5.435246
3.0,19,5.458977
4.0,63,5.535136
2.0,23,5.564995
4.0,17,5.586304
2.0,11,5.600415
2.0,7,5.609024
1.0,7,5.61915
3.0,15,5.637759
5.0,19,5.660898
2.0,23,5.688785
1.0,3,5.693789
3.0,39,5.741305
1.0,9,5.752838
6.0,31,5.790278
3.0,27,5.82352
3.0,11,5.837119
1.0,7,5.846267
3.0,15,5.865398
3.0,23,5.900912
4.0,29,5.937121
4.0,31,5.975257
1.0,3,5.978824
3.0,25,6.009446
4.0,7,6.018974
3.0,13,6.035007
6.0,21,6.061559
3.0,17,6.082498
1.0,2,6.085497
9.0,14,6.103531
2.0,7,6.112051
1.0,9,6.123075
3.0,23,6.151636
2.0,22,6.178177
3.0,11,6.191705
3.0,15,6.21074
3.0,7,6.219256
4.0,19,6.242806
2.0,18,6.264839
6.0,10,6.277864
4.0,10,6.290392
2.0,19,6.313424
5.0,18,6.335979
3.0,12,6.351015
2.0,19,6.374123
5.0,27,6.408149
5.0,20,6.43348
6.0,27,7.795991
4.0,19,7.826036
2.0,31,7.868587
1.0,3,7.873596
4.0,7,7.884105
1.0,7,7.894163
3.0,11,7.90871
2.0,7,7.91982
11.0,43,7.988072
2.0,19,8.015599
3.0,23,8.046219
4.0,17,8.067746
1.0,5,8.079285
4.0,11,8.094803
5.0,49,8.156423
11.0,33,8.196501
3.0,15,8.216535
2.0,15,8.236081
3.0,50,8.301938
5.0,25,8.340283
1.0,6,8.348764
1.0,6,8.357765
4.0,23,8.388918
4.0,64,8.495126
4.0,35,8.569393
2.0,27,8.634755
3.0,15,8.657828
3.0,19,8.686507
3.0,43,8.746624
2.0,11,8.763662
1.0,2,8.768169
3.0,27,8.81425
4.0,10,8.832879
6.0,43,8.905506
4.0,44,8.96609
2.0,23,8.997867
5.0,27,9.034932
14.0,41,9.094012
5.0,17,9.118279
3.0,12,9.133408
2.0,15,9.152552
3.0,27,9.185224
4.0,55,9.254374
10.0,58,9.325109
3.0,51,9.388177
2.0,7,9.398801
4.0,27,9.433897
3.0,11,9.449688
4.0,12,9.473775
3.0,15,9.498057
4.0,27,9.538844
3.0,5,9.545844
2.0,7,9.556399
5.0,32,9.598115
1.0,17,9.620296
7.0,15,9.639385
4.0,27,9.674106
2.0,11,9.687704
2.0,11,9.700816
1.0,3,9.705816
2.0,26,9.737971
3.0,47,9.794778
1.0,15,9.814885
4.0,19,9.841507
1.0,19,9.865571
5.0,63,9.945876
4.0,15,9.967916
4.0,39,10.017747
3.0,7,10.027784
4.0,24,10.060885
5.0,15,10.081972
4.0,24,10.115307
5.0,27,10.150479
4.0,8,10.160958
3.0,21,10.187133
3.0,15,10.206277
9.0,38,10.254139
3.0,7,10.263683
2.0,3,10.267709
5.0,19,10.292286
2.0,7,10.302802
4.0,11,10.316397
2.0,35,10.358222
3.0,7,10.36875
4.0,23,10.398298
3.0,11,10.41386
9.0,70,10.500656
2.0,11,10.516236
3.0,14,10.535295
9.0,38,10.583914
2.0,15,10.604035
3.0,11,10.619065
1.0,6,10.628074
4.0,15,10.649612
7.0,25,12.128724
8.0,14,12.157285
4.0,11,12.181846
4.0,23,12.224784
2.0,7,12.239411
4.0,15,12.263445
3.0,6,12.270951
1.0,7,12.282465
1.0,11,12.297982
7.0,15,12.317013
3.0,11,12.331561
1.0,3,12.33656
3.0,23,12.366101
3.0,13,12.383137
4.0,15,12.403184
3.0,7,12.414702
5.0,47,12.474806
3.0,11,12.488829
3.0,6,12.496841
7.0,31,12.534887
4.0,24,12.564412
3.0,7,12.573965
4.0,19,12.597028
7.0,23,12.627262
4.0,19,12.650813
5.0,11,12.666336
2.0,15,12.685372
4.0,25,12.715924
3.0,7,12.725441
5.0,24,12.755998
1.0,11,12.770035
2.0,7,12.779546
3.0,15,12.798578
1.0,11,12.813107
2.0,7,12.823171
4.0,18,12.848771
3.0,15,12.86795
2.0,7,12.877463
3.0,15,12.897498
3.0,11,12.91253
3.0,9,12.926049
5.0,29,12.962108
1.0,4,12.967106
4.0,15,12.987124
4.0,14,13.004146
5.0,29,13.041242
1.0,3,13.046242
5.0,28,13.083401
4.0,13,13.100432
4.0,19,13.125475
8.0,38,13.175069
7.0,23,13.203629
4.0,27,13.240004
1.0,4,13.246006
8.0,23,13.276204
3.0,18,13.29887
3.0,20,13.323402
8.0,42,13.374218
2.0,3,13.378754
4.0,23,13.407809
2.0,16,13.429899
3.0,27,13.465455
3.0,11,13.47948
6.0,26,13.512651
4.0,28,13.547678
2.0,23,13.576236
4.0,21,13.601791
