#{"t_start": 1743754411.2811239, "env_id": "sneaky_enemies"}
r,l,t
1.0,9,0.019012
1.0,3,0.024015
3.0,31,0.074274
3.0,35,0.124329
6.0,39,0.178206
3.0,27,0.214243
3.0,23,0.242268
2.0,3,0.246787
2.0,3,0.251781
2.0,27,0.284959
2.0,19,0.3091
3.0,47,0.369108
1.0,10,0.381708
4.0,29,0.416369
2.0,9,0.427887
4.0,23,0.456212
4.0,17,0.477375
3.0,6,0.484948
3.0,11,0.498461
2.0,7,0.508002
2.0,7,0.516283
3.0,23,0.544107
3.0,18,0.564779
2.0,7,0.57486
4.0,43,0.626272
3.0,23,0.653158
2.0,7,0.661731
2.0,24,0.692964
6.0,47,0.748325
1.0,11,0.761917
2.0,35,0.804988
1.0,3,0.808986
1.0,7,0.818557
2.0,19,0.841703
2.0,11,0.854808
3.0,6,0.862836
1.0,3,0.867592
1.0,5,0.874123
1.0,4,0.880127
2.0,7,0.889232
4.0,18,0.911373
2.0,11,0.923971
4.0,25,0.953923
3.0,35,0.99537
2.0,7,1.004889
4.0,51,1.066496
2.0,8,1.076015
4.0,15,1.095052
1.0,7,1.104057
3.0,11,1.118093
1.0,3,1.122093
1.0,5,1.12961
1.0,11,1.143126
1.0,3,1.147651
2.0,11,1.161167
5.0,35,1.202751
5.0,28,1.236822
1.0,7,1.247339
4.0,39,1.294441
1.0,3,1.299445
2.0,7,1.308954
1.0,3,1.312952
3.0,31,1.351852
2.0,15,1.370085
5.0,31,1.406998
2.0,7,1.416537
3.0,14,1.434078
4.0,8,1.444292
1.0,3,1.448833
6.0,49,1.509207
3.0,11,1.522777
1.0,5,1.530318
2.0,23,1.558068
3.0,51,1.618394
4.0,27,1.651101
2.0,11,1.664963
3.0,15,1.683103
1.0,3,1.687392
1.0,7,1.696907
3.0,79,1.789747
6.0,35,1.831555
1.0,7,1.841074
2.0,7,1.850591
5.0,44,1.904192
2.0,7,1.914204
3.0,6,1.921722
3.0,7,1.93124
2.0,7,1.940758
1.0,8,1.951277
1.0,7,1.960795
4.0,35,2.00489
4.0,51,2.068258
3.0,10,2.081782
2.0,47,2.14089
2.0,7,2.149408
2.0,27,2.182454
2.0,11,2.196469
2.0,4,2.201468
1.0,8,2.212013
1.0,7,2.221578
7.0,45,2.276499
1.0,3,2.280499
3.0,15,2.299534
2.0,3,2.30404
3.0,31,2.342607
2.0,7,2.352124
1.0,13,2.36866
2.0,21,2.394313
1.0,7,2.402356
1.0,11,2.416185
2.0,7,2.424759
5.0,45,2.479004
3.0,35,2.521209
2.0,23,2.548917
4.0,31,3.725546
2.0,15,3.747579
2.0,19,3.774618
4.0,24,3.811153
1.0,3,3.81566
2.0,7,3.824168
3.0,19,3.851198
5.0,31,3.896265
2.0,31,3.944859
3.0,31,3.985962
1.0,7,3.994473
2.0,15,4.013995
3.0,19,4.036526
4.0,26,4.068118
1.0,7,4.077205
3.0,39,4.123956
1.0,8,4.134501
1.0,3,4.138504
3.0,27,4.171748
1.0,23,4.200431
3.0,55,4.279654
3.0,31,4.324248
4.0,29,4.367378
2.0,7,4.376446
2.0,7,4.384986
2.0,27,4.420119
3.0,21,4.447129
3.0,16,4.467222
3.0,19,4.491902
2.0,38,4.538033
4.0,19,4.561712
2.0,15,4.579428
5.0,17,4.600523
5.0,23,4.628184
5.0,20,4.65236
3.0,27,4.685184
3.0,87,4.788987
2.0,7,4.798507
1.0,19,4.822541
5.0,31,4.860613
4.0,31,4.899185
4.0,39,4.945851
3.0,23,4.97398
1.0,3,4.978994
5.0,67,5.060132
3.0,19,5.08268
4.0,43,5.136787
1.0,5,5.142787
2.0,11,5.157825
3.0,13,5.172851
6.0,59,5.245983
2.0,11,5.260507
4.0,23,5.289575
3.0,18,5.312609
3.0,5,5.319128
4.0,19,5.342163
2.0,11,5.356197
2.0,25,5.386249
1.0,9,5.397762
2.0,9,5.409264
3.0,9,5.421354
2.0,23,5.447978
3.0,23,5.475274
4.0,14,5.493353
5.0,11,5.507186
2.0,16,5.527327
2.0,7,5.536896
3.0,12,5.552467
5.0,34,5.592227
4.0,23,5.61989
4.0,19,5.643007
2.0,15,5.661121
6.0,58,5.734816
3.0,19,5.757868
5.0,20,5.783934
3.0,22,5.81098
4.0,8,5.821494
2.0,13,5.838537
3.0,7,5.847054
4.0,14,5.864075
3.0,11,5.879266
1.0,3,5.883263
3.0,22,5.910903
2.0,7,5.920469
2.0,3,5.924009
2.0,11,5.938537
1.0,3,5.942536
2.0,19,5.96609
1.0,10,5.979153
3.0,22,6.005799
1.0,3,6.009768
1.0,6,6.017345
3.0,44,6.069178
5.0,27,6.102063
1.0,3,6.106575
3.0,15,6.124504
3.0,27,6.158156
3.0,10,6.171176
4.0,22,6.197735
3.0,15,6.216768
1.0,2,6.219768
2.0,3,6.224274
5.0,25,6.254828
4.0,38,6.30143
3.0,24,7.486296
4.0,19,7.511316
4.0,52,7.585943
5.0,30,7.629001
2.0,13,7.648584
2.0,15,7.669609
2.0,7,7.679648
2.0,11,7.694657
3.0,26,7.725199
1.0,3,7.730953
1.0,7,7.7405
2.0,7,7.749075
2.0,7,7.757585
4.0,12,7.773182
5.0,43,7.824022
2.0,7,7.833202
2.0,7,7.842751
4.0,15,7.860863
1.0,13,7.876982
4.0,19,7.902004
3.0,19,7.925626
7.0,39,7.973765
3.0,19,7.99752
5.0,11,8.011112
4.0,12,8.026254
2.0,19,8.049356
