#{"t_start": 1743396140.4830596, "env_id": "sneaky_enemies"}
r,l,t
3.0,7,0.017998
3.0,19,0.046999
1.0,7,0.059036
4.0,23,0.091001
5.0,23,0.122002
4.0,19,0.145
2.0,13,0.162
3.0,19,0.185
1.0,19,0.210024
3.0,13,0.22603
3.0,11,0.24003
3.0,16,0.260023
2.0,7,0.269023
1.0,3,0.273024
2.0,5,0.280033
5.0,22,0.308033
2.0,7,0.317034
5.0,56,0.383604
4.0,19,0.406604
4.0,35,0.447604
5.0,59,0.518599
1.0,3,0.522599
2.0,13,0.538604
4.0,31,0.574575
4.0,10,0.587575
4.0,47,0.644577
2.0,7,0.654576
3.0,7,0.663606
2.0,7,0.672609
5.0,27,0.706575
1.0,7,0.715576
1.0,11,0.729604
2.0,11,0.743606
6.0,11,0.756608
1.0,4,0.762605
4.0,63,0.836604
4.0,31,0.873447
3.0,7,0.882447
2.0,11,0.895417
3.0,58,0.964451
2.0,3,0.96845
3.0,19,0.990448
1.0,11,1.004447
1.0,3,1.008449
5.0,25,1.038447
1.0,3,1.042444
2.0,7,1.051449
3.0,19,1.074416
3.0,11,1.089447
1.0,19,1.112415
2.0,15,1.131416
5.0,31,1.168444
5.0,24,1.196447
5.0,19,1.218444
3.0,23,1.245447
3.0,7,1.254447
2.0,7,1.263447
2.0,7,1.271447
4.0,24,1.300449
3.0,21,1.324455
1.0,7,1.333447
1.0,2,1.336418
4.0,51,1.397022
3.0,19,1.419021
4.0,33,1.458018
3.0,19,1.48102
3.0,17,1.50102
1.0,11,1.51402
2.0,10,1.525993
1.0,7,1.534992
1.0,8,1.545025
6.0,40,1.591558
3.0,15,1.609595
2.0,21,1.635564
3.0,14,1.651597
2.0,7,1.660599
3.0,16,1.68059
3.0,15,1.698595
5.0,19,1.721595
3.0,15,1.739595
3.0,7,1.748595
2.0,27,1.78059
1.0,3,1.784595
1.0,4,1.790595
2.0,7,1.798592
4.0,15,1.816598
2.0,7,1.825592
2.0,14,1.842597
2.0,6,1.84959
1.0,5,1.856594
4.0,18,1.877595
1.0,3,1.881595
9.0,23,1.908595
1.0,8,1.918594
1.0,8,1.92759
4.0,18,1.949594
2.0,11,1.962597
3.0,23,1.989594
4.0,11,2.002595
2.0,6,2.010593
3.0,7,2.01859
1.0,8,2.028597
1.0,19,2.051589
1.0,2,2.054602
3.0,15,2.073595
2.0,9,2.084595
5.0,31,2.122593
3.0,15,2.140601
2.0,14,2.156597
1.0,7,2.165565
6.0,22,2.191591
3.0,15,2.210595
8.0,57,2.27637
1.0,7,2.285338
4.0,12,2.299372
2.0,23,2.326368
3.0,39,2.372369
1.0,3,2.376364
2.0,14,2.393371
1.0,6,2.400368
2.0,18,2.42137
4.0,19,2.444368
2.0,15,2.461367
7.0,61,3.654756
4.0,12,3.674754
5.0,43,3.752751
1.0,3,3.758754
3.0,15,3.783753
4.0,23,3.828754
5.0,19,3.854753
9.0,27,3.886753
10.0,48,3.949776
2.0,11,3.962779
1.0,5,3.968776
4.0,11,3.984776
3.0,16,4.003783
3.0,27,4.036752
2.0,7,4.044779
2.0,7,4.054755
5.0,28,4.08942
3.0,12,4.104417
5.0,17,4.124449
1.0,3,4.12845
2.0,3,4.132449
2.0,7,4.141444
2.0,11,4.154455
2.0,11,4.167452
3.0,42,4.218449
3.0,11,4.231449
3.0,23,4.25845
5.0,23,4.28542
2.0,24,4.315449
3.0,17,4.335417
4.0,39,4.381449
4.0,17,4.402444
4.0,23,4.429451
2.0,9,4.440449
3.0,28,4.473451
2.0,3,4.477445
2.0,7,4.486421
4.0,19,4.509449
3.0,9,4.520449
7.0,31,4.556444
1.0,6,4.564452
3.0,19,4.586449
4.0,11,4.600449
2.0,7,4.609449
1.0,9,4.619446
1.0,4,4.626419
5.0,25,4.655421
3.0,27,4.68745
1.0,7,4.696449
4.0,11,4.710449
6.0,31,4.747419
5.0,16,4.766419
2.0,10,4.779423
2.0,11,4.792419
2.0,11,4.80645
7.0,14,4.823447
2.0,5,4.829452
3.0,15,4.847419
2.0,15,4.865419
2.0,15,4.883418
3.0,12,4.89842
1.0,3,4.903419
2.0,28,4.937175
2.0,7,4.946175
2.0,7,4.955173
1.0,15,4.973173
3.0,9,4.984199
1.0,15,5.003206
1.0,3,5.007213
9.0,29,5.042205
3.0,43,5.096204
1.0,7,5.105206
4.0,11,5.118199
2.0,19,5.141204
2.0,3,5.145205
2.0,3,5.150204
5.0,43,5.201208
4.0,19,5.225204
2.0,30,5.261207
3.0,15,5.279178
3.0,11,5.293178
4.0,15,5.312178
4.0,15,5.330178
2.0,11,5.344179
4.0,13,5.360178
2.0,7,5.369178
2.0,7,5.378178
3.0,20,5.402178
2.0,7,5.411178
1.0,10,5.423178
3.0,43,5.474177
3.0,11,5.488177
4.0,7,5.497177
1.0,7,5.505177
2.0,19,5.528177
5.0,17,5.548204
3.0,34,5.588204
2.0,7,5.598179
1.0,7,5.608174
1.0,11,5.622172
4.0,32,5.664204
5.0,28,5.697348
9.0,37,5.742316
3.0,15,5.760316
2.0,7,5.770347
3.0,7,5.779346
2.0,7,5.788349
3.0,7,5.798316
1.0,5,5.804315
2.0,6,5.812314
1.0,2,5.815314
3.0,7,5.824316
4.0,26,5.856317
1.0,3,5.860319
2.0,12,5.875316
3.0,19,5.899314
4.0,25,5.934315
2.0,7,5.943314
3.0,11,5.957316
4.0,15,5.975315
1.0,3,5.980314
3.0,15,5.998316
2.0,7,6.007316
1.0,13,6.024012
7.0,22,6.054015
2.0,25,6.093014
1.0,10,6.10801
2.0,7,6.117009
3.0,11,6.131009
9.0,16,6.151011
1.0,3,6.157011
5.0,23,6.186038
4.0,15,6.205041
3.0,22,7.353488
3.0,19,7.379484
6.0,23,7.40951
2.0,11,7.427485
2.0,3,7.432483
1.0,17,7.457484
4.0,9,7.468483
3.0,10,7.481484
1.0,3,7.485483
2.0,7,7.497482
1.0,3,7.502483
3.0,15,7.523483
5.0,17,7.544483
4.0,13,7.559483
3.0,31,7.596512
2.0,7,7.605509
5.0,23,7.63451
4.0,15,7.653508
2.0,11,7.666959
2.0,6,7.676003
3.0,7,7.68503
2.0,7,7.69403
2.0,3,7.69803
2.0,15,7.716004
1.0,5,7.722004
2.0,9,7.734004
3.0,11,7.747005
3.0,6,7.755004
2.0,11,7.770005
6.0,40,7.818005
2.0,7,7.827004
6.0,12,7.842004
4.0,16,7.862031
10.0,15,7.880027
4.0,14,7.897031
3.0,7,7.907037
3.0,11,7.921031
2.0,7,7.930031
4.0,9,7.941031
5.0,37,7.986002
4.0,9,7.997031
2.0,8,8.00703
3.0,19,8.031001
3.0,24,8.060031
6.0,23,8.088033
4.0,23,8.117004
1.0,3,8.122004
1.0,6,8.129005
4.0,27,8.162004
5.0,16,8.181004
3.0,11,8.195004
3.0,15,8.214029
2.0,6,8.221032
3.0,6,8.229026
3.0,11,8.243031
1.0,6,8.251032
4.0,15,8.269032
9.0,30,8.306002
2.0,15,8.324032
2.0,11,8.339002
5.0,11,8.353033
2.0,3,8.357031
2.0,3,8.361001
9.0,13,8.378031
4.0,23,8.405036
4.0,9,8.416
6.0,37,8.460026
6.0,31,8.49737
4.0,19,8.520343
4.0,8,8.530369
5.0,27,8.562374
