#{"t_start": 1743753309.6007786, "env_id": "safe"}
r,l,t
33.0,500,1.720564
38.0,500,2.02918
34.0,500,2.337521
38.0,500,2.648107
38.0,500,4.263657
47.0,500,4.573286
48.0,500,4.883432
43.0,500,5.186887
50.0,500,6.679177
44.0,500,6.982234
36.0,500,7.288752
47.0,500,7.585403
36.0,500,9.182058
49.0,500,9.531642
36.0,500,9.837285
46.0,500,10.143909
36.0,500,11.604118
45.0,500,11.907614
48.0,500,12.208242
49.0,500,12.501721
34.0,500,13.949454
41.0,500,14.249052
48.0,500,14.543615
50.0,500,14.838209
38.0,500,16.23059
44.0,500,16.536381
38.0,500,16.822928
49.0,500,17.117585
39.0,500,18.557462
38.0,500,18.8538
46.0,500,19.159929
45.0,500,19.452556
39.0,500,20.95741
51.0,500,21.265971
46.0,500,21.555365
46.0,500,21.846378
50.0,500,23.213427
42.0,500,23.510052
42.0,500,23.803806
34.0,500,24.092008
47.0,500,25.465988
47.0,500,25.782169
43.0,500,26.089795
49.0,500,26.381823
52.0,500,26.674392
52.0,500,28.064211
55.0,500,28.360615
52.0,500,28.65133
45.0,500,28.940022
52.0,500,30.313951
38.0,500,30.601747
42.0,500,30.895565
52.0,500,31.187391
40.0,500,32.590592
41.0,500,32.878844
41.0,500,33.169441
56.0,500,33.4542
48.0,500,34.865619
44.0,500,35.171934
45.0,500,35.465649
40.0,500,35.765449
