#{"t_start": 1743759050.326193, "env_id": "chokepoint"}
r,l,t
3.0,7,0.047515
2.0,4,0.052515
8.0,12,0.069515
2.0,15,0.084512
3.0,10,0.095514
9.0,14,0.108512
1.0,5,0.115514
3.0,20,0.137514
5.0,16,0.152593
9.0,29,0.181941
3.0,12,0.193941
4.0,6,0.199941
9.0,35,0.234944
2.0,5,0.239971
3.0,20,0.260544
1.0,3,0.263547
4.0,19,0.282541
2.0,4,0.286544
6.0,28,0.313544
2.0,3,0.317544
6.0,12,0.329581
1.0,9,0.338581
1.0,5,0.344061
3.0,10,0.35407
2.0,8,0.36207
5.0,15,0.37707
2.0,7,0.38507
4.0,9,0.39507
3.0,24,0.421392
1.0,3,0.425389
2.0,11,0.436395
5.0,15,0.452919
8.0,20,0.473919
2.0,8,0.481919
9.0,13,0.495919
1.0,4,0.500919
4.0,31,0.532922
1.0,3,0.536919
3.0,15,0.55243
8.0,18,0.571431
8.0,17,0.589463
3.0,7,0.597465
1.0,3,0.601462
1.0,6,0.607462
3.0,16,0.625464
3.0,8,0.633468
3.0,12,0.64672
2.0,8,0.655715
3.0,20,0.67672
4.0,11,0.68872
6.0,21,0.71072
2.0,18,0.72975
2.0,8,0.738756
2.0,6,0.746295
3.0,10,0.7563
1.0,4,0.761302
6.0,11,0.773272
2.0,4,0.778304
1.0,6,0.7853
0.0,2,0.788301
3.0,8,0.796302
6.0,9,0.8063
3.0,5,0.812302
3.0,14,0.826296
3.0,8,0.835337
3.0,9,0.844882
4.0,10,0.855882
3.0,15,0.871881
7.0,17,0.889881
2.0,4,0.894881
3.0,8,0.90385
3.0,8,0.91188
3.0,6,0.91888
10.0,28,0.947488
7.0,12,0.960483
4.0,13,0.974458
6.0,18,0.993459
3.0,7,1.001494
4.0,22,1.024488
3.0,4,1.029525
3.0,13,1.042526
3.0,7,1.051096
4.0,8,1.0601
6.0,12,1.073099
5.0,16,1.0901
12.0,28,1.119099
2.0,7,1.127099
3.0,7,1.135133
7.0,16,1.151704
3.0,12,1.164707
3.0,9,1.174711
3.0,13,1.188705
7.0,13,1.202701
3.0,13,1.216706
1.0,15,1.232742
4.0,15,1.248313
3.0,11,1.260308
3.0,16,1.277315
3.0,9,1.287316
3.0,5,1.293283
2.0,6,1.300313
1.0,2,1.303283
6.0,10,1.314315
4.0,8,1.323285
5.0,11,1.335343
2.0,9,1.344886
3.0,13,1.358922
4.0,11,1.370925
3.0,8,1.379927
1.0,7,1.386925
2.0,6,1.393925
5.0,16,1.410923
8.0,13,1.424917
3.0,10,1.434964
3.0,4,1.439962
2.0,5,1.445531
1.0,12,1.45853
2.0,12,1.471533
7.0,13,1.485528
0.0,2,1.48853
4.0,27,1.516531
2.0,22,1.539568
2.0,5,1.545105
3.0,16,1.562141
2.0,10,1.573141
3.0,13,1.587141
1.0,4,1.592142
2.0,14,1.607139
8.0,19,1.627136
0.0,2,1.629144
6.0,21,1.651741
2.0,16,1.66875
4.0,7,1.676745
8.0,20,1.697751
3.0,10,1.708746
2.0,3,1.712745
3.0,9,1.722741
3.0,9,1.732777
1.0,4,1.737778
2.0,5,1.742777
3.0,33,1.777709
7.0,19,1.797746
6.0,14,1.812745
3.0,18,1.831782
3.0,5,1.836781
4.0,18,1.856358
5.0,32,1.889358
4.0,12,1.902354
3.0,17,1.921327
3.0,7,1.929328
3.0,7,1.937359
4.0,11,1.948908
4.0,11,1.960914
4.0,25,1.98691
5.0,20,2.007905
9.0,13,2.021909
2.0,5,2.027907
1.0,8,2.036945
0.0,1,2.03795
3.0,5,2.043943
3.0,7,2.051515
0.0,4,2.056512
1.0,3,2.060505
7.0,13,2.074515
2.0,9,2.083486
7.0,12,2.096517
7.0,28,2.126516
3.0,10,2.13655
3.0,6,2.14355
4.0,12,2.157123
3.0,18,2.176118
7.0,10,2.18696
0.0,7,2.194933
3.0,14,2.209959
3.0,17,2.227964
3.0,5,2.234007
4.0,23,3.403808
2.0,8,3.412807
1.0,11,3.428809
9.0,12,3.441812
4.0,9,3.452322
3.0,6,3.459321
3.0,6,3.468323
6.0,13,3.483321
1.0,4,3.488321
4.0,17,3.509323
5.0,32,3.559839
7.0,10,3.575838
3.0,11,3.589839
3.0,16,3.608839
3.0,12,3.622839
6.0,38,3.664357
1.0,14,3.679381
5.0,32,3.715357
7.0,24,3.743397
6.0,10,3.755927
1.0,4,3.760925
3.0,7,3.768929
0.0,5,3.774926
3.0,9,3.784926
0.0,2,3.787926
3.0,14,3.802924
3.0,11,3.814924
3.0,9,3.823924
3.0,5,3.829924
5.0,7,3.837929
8.0,14,3.853458
9.0,33,3.887491
1.0,3,3.891458
5.0,12,3.904483
5.0,17,3.922489
3.0,17,3.941524
2.0,9,3.951083
3.0,16,3.96809
4.0,12,3.981082
1.0,6,3.988083
3.0,19,4.008083
6.0,14,4.023086
3.0,17,4.041125
3.0,10,4.052699
