#{"t_start": 1743759168.5538583, "env_id": "sneaky_enemies"}
r,l,t
3.0,11,0.048031
4.0,19,0.073998
1.0,4,0.080068
2.0,10,0.092038
1.0,3,0.098576
1.0,3,0.102612
2.0,7,0.111575
11.0,500,0.692509
2.0,7,0.701074
1.0,3,0.705074
3.0,7,0.714074
1.0,6,0.721073
3.0,16,0.740074
1.0,7,0.749047
2.0,7,0.758076
1.0,5,0.764074
1.0,9,0.775074
1.0,5,0.781109
1.0,3,0.787568
1.0,2,0.790568
2.0,14,0.807085
1.0,3,0.811086
2.0,19,0.834116
2.0,11,0.848114
1.0,4,0.853112
1.0,5,0.859085
3.0,15,0.877115
3.0,11,0.891149
1.0,7,0.899716
1.0,4,0.904711
1.0,5,0.910716
1.0,3,0.915716
1.0,5,0.921719
1.0,5,0.927716
1.0,3,0.931725
1.0,3,0.935716
3.0,5,0.942712
1.0,9,0.953689
3.0,8,0.963689
1.0,3,0.96769
2.0,3,0.971686
1.0,2,0.974686
2.0,7,0.983692
4.0,9,0.994204
2.0,7,1.003213
2.0,4,1.008213
1.0,6,1.016241
1.0,3,1.020242
1.0,7,1.029242
2.0,7,1.038213
1.0,3,1.042213
1.0,4,1.047214
2.0,7,1.056214
1.0,3,1.060214
2.0,3,1.064213
1.0,4,1.070213
2.0,8,1.080222
1.0,4,1.085222
2.0,8,1.095742
4.0,7,1.103741
4.0,11,1.117742
3.0,11,1.130738
1.0,5,1.137741
1.0,3,1.141738
1.0,3,1.145738
3.0,15,1.163738
2.0,7,1.172738
1.0,3,1.176738
3.0,11,1.190774
10.0,21,1.214345
3.0,7,1.223345
1.0,3,1.227345
2.0,7,1.23634
1.0,2,1.239345
3.0,8,1.249348
3.0,7,1.257344
2.0,7,1.266343
1.0,3,1.270345
2.0,6,1.278346
1.0,8,1.28838
1.0,4,1.293375
4.0,7,1.302927
2.0,19,1.324955
3.0,14,1.341956
1.0,5,1.347955
1.0,3,1.352955
1.0,2,1.355955
2.0,11,1.368955
1.0,4,1.373955
2.0,7,1.382991
1.0,3,1.38699
2.0,11,1.400561
1.0,3,1.404562
1.0,6,1.411561
1.0,2,1.414562
2.0,7,1.423561
1.0,4,1.428571
2.0,12,1.443562
3.0,11,1.456562
1.0,5,1.462562
3.0,11,1.476561
1.0,3,1.480603
2.0,7,1.48857
11.0,289,1.819797
1.0,3,1.823797
1.0,2,1.826797
11.0,43,1.877827
2.0,7,1.885859
4.0,15,1.903431
1.0,4,1.909435
1.0,5,1.915437
1.0,16,1.93344
2.0,4,1.939436
1.0,2,1.942437
1.0,8,1.952436
3.0,9,1.963441
2.0,7,1.971408
2.0,8,1.981472
1.0,3,1.985466
2.0,13,2.001043
5.0,11,2.014043
1.0,11,2.027044
4.0,6,2.034043
1.0,3,2.039014
1.0,3,2.043044
2.0,7,2.051044
2.0,7,2.060046
1.0,3,2.064044
1.0,2,2.067046
1.0,3,2.071043
2.0,3,2.075043
1.0,3,2.079014
1.0,3,2.08308
1.0,3,2.087079
1.0,5,2.094079
1.0,8,2.103218
3.0,32,2.140223
2.0,7,2.148604
1.0,7,2.15761
1.0,13,2.173605
1.0,5,2.17961
1.0,3,2.183645
1.0,3,2.187644
1.0,3,2.192645
1.0,3,2.196209
1.0,4,2.20121
2.0,7,2.210214
1.0,3,2.214214
3.0,6,2.221215
3.0,11,2.234213
1.0,2,2.237215
1.0,3,2.242211
1.0,9,2.253209
1.0,4,2.258216
1.0,3,2.262215
2.0,7,2.271214
2.0,7,2.279214
5.0,11,2.293253
2.0,3,2.296827
3.0,19,2.319827
1.0,3,2.323827
1.0,2,2.326827
2.0,13,2.341828
1.0,3,2.346828
2.0,7,2.354828
1.0,2,2.357828
1.0,3,2.361827
1.0,3,2.365827
1.0,2,2.368838
3.0,7,2.377829
1.0,3,2.381862
3.0,11,2.393862
10.0,15,2.412431
1.0,3,2.416433
3.0,15,2.43444
3.0,19,2.456434
1.0,5,2.462429
1.0,5,2.468439
2.0,7,2.477434
1.0,4,2.482463
3.0,7,2.491469
1.0,2,2.494463
1.0,3,2.498046
2.0,7,2.507043
3.0,7,2.515045
1.0,3,2.520042
2.0,11,3.794162
